id;start_date;end_date;language
1;2021-01-04T22:13:33;2021-01-04T20:03:48;SPANISH
2;2021-01-04T03:03:44;2021-01-04T22:08:09;SPANISH
3;2021-01-04T17:59:03;2021-01-04T04:33:12;FRENCH
4;2021-01-04T09:16:34;2021-01-04T20:48:00;FRENCH
5;2021-01-04T18:46:52;2021-01-04T23:33:51;FRENCH
6;2021-01-04T12:39:13;2021-01-05T00:47:27;FRENCH
7;2021-01-04T14:24:33;2021-01-04T08:15:24;FRENCH
8;2021-01-04T13:20:46;2021-01-04T23:36:54;SPANISH
9;2021-01-04T12:01:55;2021-01-04T08:43:18;SPANISH
10;2021-01-04T20:13:59;2021-01-04T06:48:29;SPANISH
